Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
926,1411,teilnehmen,nehme teil,,nimmst teil,,nimmt teil,nahm teil,,teilgenommen,,nähme teil,,nimm teil,,,nehmt teil,,haben,,,,,,
927,1411,verklagen,verklage,,verklagst,,verklagt,verklagte,,verklagt,,verklagte,,verklag,verklage,,verklagt,,haben,,,,,,
928,1407,erleiden,erleide,,erleidest,,erleidet,erlitt,,erlitten,,erlitte,,erleide,,,erleidet,,haben,,,,,,
929,1406,kichern,kichere,,kicherst,,kichert,kicherte,,gekichert,,kicherte,,kichere,,,kichert,,haben,,Giggling.ogg|mini|1|Ein [[Mädchen]] ''kichert.'',,,,
930,1402,herziehen,ziehe her,,ziehst her,,zieht her,zog her,,hergezogen,,zöge her,,ziehe her,,,zieht her,ziehet her,sein,haben,,,,,
931,1402,narren,narre,,narrst,,narrt,narrte,,genarrt,,narrte,,narr,narre,,narrt,,haben,,,,,,
932,1400,aufhängen,hänge auf,,hängst auf,,hängt auf,hängte auf,,aufgehängt,,hängte auf,,häng auf,hänge auf,,hängt auf,,haben,,,,,,
933,1398,schleppen,schleppe,,schleppst,,schleppt,schleppte,,geschleppt,,schleppte,,schleppe,schlepp,,schleppt,,haben,,Lijiang Yunnan China-Naxi-people-carrying-baskets-01.jpg|thumb|1|[[Frau]]en ''schleppen'' in einer [[Vorstellung]] die [[ortstypisch]]en [[Korb|Körbe]],,,,
934,1397,darstellen,stelle dar,,stellst dar,,stellt dar,stellte dar,,dargestellt,,stellte dar,,stell dar,stelle dar,,stellt dar,,haben,,,,,,
935,1397,regieren,regiere,,regierst,,regiert,regierte,,regiert,,regierte,,regiere,regier,,regiert,,haben,,,,,,
936,1387,hindern,hindere,,hinderst,,hindert,hinderte,,gehindert,,hinderte,,hindere,hinder,,hindert,,haben,,,,,,
937,1384,keuchen,keuche,,keuchst,,keucht,keuchte,,gekeucht,,keuchte,,keuche,,,keucht,,haben,,,,,,
938,1382,ausliefern,liefere aus,,lieferst aus,,liefert aus,lieferte aus,,ausgeliefert,,lieferte aus,,liefere aus,liefer aus,,liefert aus,,haben,,,,,,
939,1380,zuschlagen,schlage zu,schlag zu,schlägst zu,,schlägt zu,schlug zu,,zugeschlagen,,schlüge zu,,schlage zu,schlag zu,,schlagt zu,,haben,sein,,,,,
940,1377,verheimlichen,verheimliche,,verheimlichst,,verheimlicht,verheimlichte,,verheimlicht,,verheimlichte,,verheimlich,verheimliche,,verheimlicht,,haben,,,,,,
941,1373,verhören,verhöre,,verhörst,,verhört,verhörte,,verhört,,verhörte,,verhöre,,,verhört,,haben,,,,,,
942,1371,segeln,segle,segele,segelst,,segelt,segelte,,gesegelt,,segelte,,segle,segele,,segelt,,haben,,Edenflip.JPG|230px|2|zwei ''segelnde'' Männer,,,,
943,1369,ausschalten,schalte aus,,schaltest aus,,schaltet aus,schaltete aus,,ausgeschaltet,,schaltete aus,,schalt aus,schalte aus,,schaltet aus,,haben,,,,,,
944,1368,billigen,billige,,billigst,,billigt,billigte,,gebilligt,,billigte,,billige,,,billigt,,haben,,,,,,
945,1364,verwechseln,verwechsle,,verwechselst,,verwechselt,verwechselte,,verwechselt,,verwechselte,,verwechsle,,,verwechselt,,haben,,,,,,
946,1364,einrichten,richte ein,,richtest ein,,richtet ein,richtete ein,,eingerichtet,,richtete ein,,richte ein,,,richtet ein,,haben,,,,,,
947,1363,prügeln,prügle,prügele,prügelst,,prügelt,prügelte,,geprügelt,,prügelte,,prügle,prügele,,prügelt,,haben,,,,,,
948,1363,beziehen,beziehe,,beziehst,,bezieht,bezog,,bezogen,,bezöge,,beziehe,,,bezieht,,haben,,,,,,
949,1361,leuchten,leuchte,,leuchtest,,leuchtet,leuchtete,,geleuchtet,,leuchtete,,leuchte,,,leuchtet,,haben,,,,,,
950,1360,besagen,—,,—,,besagt,besagte,,besagt,,besagte,,—,,,—,,haben,,,,,,
951,1358,erwachen,erwache,,erwachst,,erwacht,erwachte,,erwacht,,erwachte,,erwache,,,erwachet,,sein,,,,,,
952,1356,verschonen,verschone,,verschonst,,verschont,verschonte,,verschont,,verschonte,,verschon,verschone,,verschont,,haben,,,,,,
953,1353,aufbringen,bringe auf,,bringst auf,,bringt auf,brachte auf,,aufgebracht,,brächte auf,,bringe auf,,,bringt auf,,haben,,,,,,
954,1352,arten,arte,,artest,,artet,artete,,geartet,,artete,,art,arte,,artet,,haben,sein,,,,,
955,1349,aufziehen,ziehe auf,,ziehst auf,,zieht auf,zog auf,,aufgezogen,,zöge auf,,zieh auf,,,zieht auf,,haben,sein,,,,,
956,1346,vergeuden,vergeude,,vergeudest,,vergeudet,vergeudete,,vergeudet,,vergeudete,,vergeude,,,vergeudet,,haben,,,,,,
957,1341,verleihen,verleihe,,verleihst,,verleiht,verlieh,,verliehen,,verliehe,,verleih,verleihe,,verleiht,,haben,,120717-M-DM345-001 - James F. Amos pins a Purple Heart on Sgt. Shane Fredericks during a visit.jpg|thumb|2|Einem [[Soldat]]en wird ein [[Orden]] ''verliehen.'',,,,
958,1335,anheuern,heuere an,,heuerst an,,heuert an,heuerte an,,angeheuert,,heuerte an,,heuere an,,,heuert an,,haben,,,,,,
959,1330,backen,backe,,bäckst,backst,bäckt,buk,backte,gebacken,,büke,backte,backe,back,,backt,,haben,,Konevets - bakery.jpg|210px|1|Im Kloster wird selbst ''gebacken'',,,,
960,1329,flammen,flamme,,flammst,,flammt,flammte,,geflammt,,flammte,,flamm,flamme,,flammt,,haben,,,,,,
961,1327,erden,erde,,erdest,,erdet,erdete,,geerdet,,erdete,,erde,,,erdet,,haben,,,,,,
962,1320,knurren,knurre,,knurrst,,knurrt,knurrte,,geknurrt,,knurrte,,knurre,knurr,,knurrt,,haben,,,,,,
963,1315,schweben,schwebe,,schwebst,,schwebt,schwebte,,geschwebt,,schwebte,,schweb,schwebe,,schwebt,,sein,haben,2015 Uliczny iluzjonista w Pradze.jpg|thumb|1b|[[scheinbar]] in der [[Luft]] ''schweben'',,,,
964,1312,ausnutzen,nutze aus,,nutzt aus,,nutzt aus,nutzte aus,,ausgenutzt,,nutzte aus,,nutz aus,nutze aus,,nutzt aus,,haben,,,,,,
965,1309,einmischen,mische ein,,mischst ein,mischt ein,mischt ein,mischte ein,,eingemischt,,mischte ein,,misch ein,mische ein,,mischt ein,,haben,,,,,,
966,1305,beichten,beichte,,beichtest,,beichtet,beichtete,,gebeichtet,,beichtete,,beichte,,,beichtet,,haben,,,,,,
967,1305,verbünden,verbünde,,verbündest,,verbündet,verbündete,,verbündet,,verbündete,,verbünd,verbünde,,verbündet,,haben,,,,,,
968,1294,ausfallen,falle aus,,fällst aus,,fällt aus,fiel aus,,ausgefallen,,fiele aus,,falle aus,,,fallt aus,,sein,,,,,,
969,1291,einschalten,schalte ein,,schaltest ein,,schaltet ein,schaltete ein,,eingeschaltet,,schaltete ein,,schalte ein,,,schaltet ein,,haben,,,,,,
970,1287,anmachen,mache an,,machst an,,macht an,machte an,,angemacht,,machte an,,mach an,mache an,,macht an,,haben,,,,,,
971,1284,zurückhalten,halte zurück,,hältst zurück,,hält zurück,hielt zurück,,zurückgehalten,,hielte zurück,,halte zurück,,,haltet zurück,,haben,,,,,,
972,1284,betteln,bettle,bettele,bettelst,,bettelt,bettelte,,gebettelt,,bettelte,,bettle,bettele,,bettelt,,haben,,Afghan girl begging.jpg|thumb|1|das [[Kind]] ''bettelt'',,,,
973,1281,rauben,raube,,raubst,,raubt,raubte,,geraubt,,raubte,,raube,,,raubt,,haben,,,,,,
974,1278,ernähren,ernähre,,ernährst,,ernährt,ernährte,,ernährt,,ernährte,,ernähr,ernähre,,ernährt,,haben,,,,,,
975,1277,einschlagen,schlage ein,,schlägst ein,,schlägt ein,schlug ein,,eingeschlagen,,schlüge ein,,schlag ein,,,schlagt ein,,haben,,,,,,
976,1267,bumsen,bumse,,bumst,,bumst,bumste,,gebumst,,bumste,,bums,,,bumst,,haben,,,,,,
977,1267,reservieren,reserviere,,reservierst,,reserviert,reservierte,,reserviert,,reservierte,,reservier,reserviere,,reserviert,,haben,,,,,,
978,1267,vorlesen,lese vor,,liest vor,,liest vor,las vor,,vorgelesen,,läse vor,,lies vor,,,lest vor,,haben,,,,,,
979,1266,krachen,krache,,krachst,,kracht,krachte,,gekracht,,krachte,,krache,,,kracht,,haben,,,,,,
980,1266,besaufen,besaufe,,besäufst,,besäuft,besoff,,besoffen,,besöffe,,besauf,besaufe,,besauft,,haben,,,,,,
981,1265,wegfahren,fahre weg,,fährst weg,,fährt weg,fuhr weg,,weggefahren,,führe weg,,fahr weg,,,fahrt weg,,sein,haben,,,,,
982,1262,beauftragen,beauftrage,,beauftragst,,beauftragt,beauftragte,,beauftragt,,beauftragte,,beauftrag,beauftrage,,beauftragt,,haben,,,,,,
983,1259,bedecken,bedecke,,bedeckst,,bedeckt,bedeckte,,bedeckt,,bedeckte,,bedecke,,,bedeckt,,haben,,,,,,
984,1258,untergehen,gehe unter,,gehst unter,,geht unter,ging unter,,untergegangen,,ginge unter,,geh unter,gehe unter,,geht unter,,sein,,,,,,
985,1257,wärmen,wärme,,wärmst,,wärmt,wärmte,,gewärmt,,wärmte,,wärm,wärme,,wärmt,,haben,,,,,,
986,1251,erfordern,erfordere,erforder,erforderst,,erfordert,erforderte,,erfordert,,erforderte,,erforder,erfordere,,erfordert,,haben,,,,,,
